City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,berbera,10.4396,45.0143,299.34,85,1,0.88,SO,1710379347
133,olonkinbyen,70.9221,-8.7187,269.12,61,92,9.71,SJ,1710379348
134,kidal,18.4411,1.4078,299.94,7,97,4.17,ML,1710379349
135,yerofey pavlovich,53.9667,121.9667,267.11,88,100,1.06,RU,1710379351
136,jamestown,42.097,-79.2353,284.95,66,20,3.09,US,1710379115
137,hithadhoo,-0.6,73.0833,300.99,71,4,4.03,MV,1710379354
138,evanston,42.0411,-87.6901,287.99,67,100,5.66,US,1710379060
139,san isidro,-12.1167,-77.05,295.92,78,0,6.17,PE,1710379356
140,saint-philippe,-21.3585,55.7679,296.92,78,50,4.42,RE,1710379357
141,choyr,46.3611,108.3611,266.19,76,3,0.88,MN,1710379288
142,zheleznodorozhnyy,55.7503,38.0042,269.38,98,86,2.24,RU,1710379360
143,greenville,35.6127,-77.3663,288.22,54,0,0.45,US,1710379152
144,praia da vitoria,38.7333,-27.0667,290.29,77,20,6.14,PT,1710379363
145,vanimo,-2.6741,141.3028,301.0,78,100,2.82,PG,1710379365
146,boguchany,58.3814,97.4531,256.51,99,95,1.69,RU,1710379365
147,isla mujeres,21.2311,-86.731,300.18,81,14,4.79,MX,1710379366
148,brak,27.5496,14.2714,290.13,38,100,7.27,LY,1710379368
149,akniste,56.1615,25.7478,275.43,93,100,2.13,LV,1710379370
150,zhangatas,43.5667,69.75,269.56,95,100,3.86,KZ,1710379371
151,mogocha,53.7333,119.7667,264.67,73,100,0.8,RU,1710379372
152,waiuku,-37.25,174.75,297.77,91,100,1.32,NZ,1710379373
153,port alfred,-33.5906,26.891,289.92,99,100,1.79,ZA,1710379374
154,gizo,-8.103,156.8419,301.9,73,100,2.42,SB,1710379374
155,colares,38.7992,-9.4469,287.22,93,7,4.02,PT,1710379376
156,timbuktu,16.7735,-3.0074,300.14,9,28,5.06,ML,1710379378
157,valencia de alcantara,39.4115,-7.2444,281.46,97,9,1.47,ES,1710379380
